E22001,2022001
E22001,2022003
E22001,2022005
E22001,2022006
E22001,2022004
E22001,2022013
E22001,2022016
E22002,2022014
E22002,2022015
E22002,2022003
E22002,2022009
E22002,2022012
E22002,2022013
E22002,2022007
E22003,2022015
E22003,2022014
E22003,2022016
E22003,2022007
E22004,2022008
E22004,2022001
E22004,2022002
E22004,2022003
E22004,2022005
E22005,2022001
E22005,2022002
E22005,2022016
E22005,2022004
E22005,2022005
E22005,2022006
E22005,2022007
E22005,2022008
E22005,2022009
E22005,2022010
E22005,2022011
E22005,2022012
E22005,2022013
